hotelname,nearest location,images,address,about hotel,hotel facilities,room facilities,wellness/spa,accessibility,for children,lowest rate,lowest rate provider,medium rate,medium rate provider,highest rate,highest rate provider,best rate,best rate provider,stars
Treebo Indiana Pride,"Jaipur, 3.5 km to City centre",https://imgio.trivago.com/partnerimages/21/71/217187952_x.jpeg,"No 4, District Shopping Centre, Behind Laxmi Mandir Cinema, Lalkothi, Tonk Road 302015 Jaipur India","Modern in style, Treebo Indiana Pride offers budget-friendly and business-focused accommodations with on-site parking and a complimentary daily breakfast. The hotel is situated about a mile from Sawai Man Singh Cricket Stadium and two miles south of Central Park.The bright and airy air-conditioned rooms provide guests with all the basic comforts of a home away from home, such as a tea kettle and a mini-fridge. For entertainment, guests can enjoy cable programming on their flat-screen TV or surf the Internet with the free Wi-Fi.Hotel facilities include a 24-hour reception and a travel desk. Self-service laundry facilities are also available on-site.The restaurant at Treebo Indiana Pride offers a varied menu with Indian and regional dishes, including both vegetarian and non-vegetarian options. Room service is also available throughout the day.The iconic Albert Hall Museum, known for its collection of exquisite art and historical artefact collection, is less than four miles from the hotel. Smriti Van State Park is three miles away. Modern in style, Treebo Indiana Pride offers budget-friendly and business-focused accommodations with on-site parking and a complimentary daily breakfast. The hotel is situated about a mile from Sawai Man Singh Cricket Stadium and two miles south of Central Park.The bright and airy air-conditioned rooms provide guests with all the basic comforts of a home away from home, such as a tea kettle and a mini-fridge. For entertainment, guests can enjoy cable programming on their flat-screen TV or surf the Internet with the free Wi-Fi.Hotel facilities include a 24-hour reception and a travel desk. Self-service laundry facilities are also available on-site.The restaurant at Treebo Indiana Pride offers a varied menu with Indian and regional dishes, including both vegetarian and non-vegetarian options. Room service is also available throughout the day.The iconic Albert Hall Museum, known for its collection of exquisite art and historical artefact collection, is less than four miles from the hotel. Smriti Van State Park is three miles away.",24-hour reception 24-hour room service Business centre Car park Conference rooms Free WiFi in lobby Laundry service Lift Restaurant Room service WiFi in lobby,Air conditioning Bathroom with bathtub Bathroom with shower Cable TV Desk Electric kettle Fan Flatscreen TV Free WiFi in the rooms Fridge Internet Ironing board Satellite TV Telephone Television WiFi in the rooms,,,,"₹1,654",Hotel website,"₹2,179",makemytrip,"₹2,465",Hotels.com,"₹1,654",Treebo Hotels,"<span class=""icon-ic item__star""><svg xmlns=""http://www.w3.org/2000/svg"" focusable=""false"" tabindex=""-1"" width=""12"" height=""12"" viewBox=""0 0 12 12""><path class=""svg-color--primary"" fill=""#F6AB3F"" d=""M11.988 5.21c-.052-.275-.27-.488-.545-.534l-3.604-.6L6.63.455C6.542.184 6.287 0 6 0s-.542.184-.632.456L4.16 4.076l-3.603.6c-.275.046-.493.26-.545.533-.052.273.072.55.312.695L3.2 7.63l-1.165 3.493c-.093.28.01.59.25.758.115.08.25.12.382.12.148 0 .295-.05.416-.146L6 9.52l2.917 2.333c.12.098.27.147.416.147.133 0 .267-.04.38-.12.244-.17.346-.478.252-.758L8.8 7.63l2.876-1.725c.24-.144.364-.422.312-.696z""></path></svg></span><span class=""icon-ic item__star""><svg xmlns=""http://www.w3.org/2000/svg"" focusable=""false"" tabindex=""-1"" width=""12"" height=""12"" viewBox=""0 0 12 12""><path class=""svg-color--primary"" fill=""#F6AB3F"" d=""M11.988 5.21c-.052-.275-.27-.488-.545-.534l-3.604-.6L6.63.455C6.542.184 6.287 0 6 0s-.542.184-.632.456L4.16 4.076l-3.603.6c-.275.046-.493.26-.545.533-.052.273.072.55.312.695L3.2 7.63l-1.165 3.493c-.093.28.01.59.25.758.115.08.25.12.382.12.148 0 .295-.05.416-.146L6 9.52l2.917 2.333c.12.098.27.147.416.147.133 0 .267-.04.38-.12.244-.17.346-.478.252-.758L8.8 7.63l2.876-1.725c.24-.144.364-.422.312-.696z""></path></svg></span><span class=""icon-ic item__star""><svg xmlns=""http://www.w3.org/2000/svg"" focusable=""false"" tabindex=""-1"" width=""12"" height=""12"" viewBox=""0 0 12 12""><path class=""svg-color--primary"" fill=""#F6AB3F"" d=""M11.988 5.21c-.052-.275-.27-.488-.545-.534l-3.604-.6L6.63.455C6.542.184 6.287 0 6 0s-.542.184-.632.456L4.16 4.076l-3.603.6c-.275.046-.493.26-.545.533-.052.273.072.55.312.695L3.2 7.63l-1.165 3.493c-.093.28.01.59.25.758.115.08.25.12.382.12.148 0 .295-.05.416-.146L6 9.52l2.917 2.333c.12.098.27.147.416.147.133 0 .267-.04.38-.12.244-.17.346-.478.252-.758L8.8 7.63l2.876-1.725c.24-.144.364-.422.312-.696z""></path></svg></span>"
ibis Jaipur,"Jaipur, 4.8 km to City centre",https://imgio.trivago.com/partnerimages/14/31/143199032_x.jpeg,Civil line Area Ajmer Road 302006 Jaipur India,"The ibis Jaipur is a modern property in Jaipur containing an outdoor swimming pool and fitness centre on-site. Parking is also available for all guests of the hotel.Each room is air-conditioned and features coffee and tea making facilities, flat-screen TV and a safety deposit box. The private bathrooms include a shower and hair dryer, plus the beds are fitted with luxury mattresses and bedding.Free Wi-Fi is provided for guests of the hotel, whilst staff can assist with car hire, laundry and a range of business services. The property also features a variety of facilities for disabled guests including wheelchair access.The hotel serves a breakfast buffet each morning and the in-house restaurant, Spice It, serves multicultural cuisine 24 hours a day. The Hub is the hotel's bar. It offers a range of snacks and beverages.Khimsar Fort and Israda Palace Marriage Garden are both within 1.5 kilometres of the ibis Jaipur. The ibis Jaipur is a modern property in Jaipur containing an outdoor swimming pool and fitness centre on-site. Parking is also available for all guests of the hotel.Each room is air-conditioned and features coffee and tea making facilities, flat-screen TV and a safety deposit box. The private bathrooms include a shower and hair dryer, plus the beds are fitted with luxury mattresses and bedding.Free Wi-Fi is provided for guests of the hotel, whilst staff can assist with car hire, laundry and a range of business services. The property also features a variety of facilities for disabled guests including wheelchair access.The hotel serves a breakfast buffet each morning and the in-house restaurant, Spice It, serves multicultural cuisine 24 hours a day. The Hub is the hotel's bar. It offers a range of snacks and beverages.Khimsar Fort and Israda Palace Marriage Garden are both within 1.5 kilometres of the ibis Jaipur.",24-hour room service 24-hour reception Airport shuttle Business centre Car park Concierge Conference rooms Express check-in / out Gym Hotel bar Hotel safe Hypoallergenic rooms Laundry service Lift Non-smoking rooms Outdoor swimming pool PC with internet Pool bar Restaurant Room service Terrace Washing machine Wellness Centre / Spa WiFi in lobby,Air conditioning Bathroom with shower Cable TV Central heating Cosmetic mirror Desk Electric kettle Flatscreen TV Free WiFi in the rooms Fridge Hairdryer Hypoallergenic bedding Internet Ironing board Room safe Satellite TV Telephone Television WiFi in the rooms,Accessible paths / corridors Deaf accessibility equipment Wheelchair accessible,,,-,Yatra,-,Booking.com,-,Amoma.com,"₹2,833",Hotels.com,"<span class=""icon-ic item__star""><svg xmlns=""http://www.w3.org/2000/svg"" focusable=""false"" tabindex=""-1"" width=""12"" height=""12"" viewBox=""0 0 12 12""><path class=""svg-color--primary"" fill=""#F6AB3F"" d=""M11.988 5.21c-.052-.275-.27-.488-.545-.534l-3.604-.6L6.63.455C6.542.184 6.287 0 6 0s-.542.184-.632.456L4.16 4.076l-3.603.6c-.275.046-.493.26-.545.533-.052.273.072.55.312.695L3.2 7.63l-1.165 3.493c-.093.28.01.59.25.758.115.08.25.12.382.12.148 0 .295-.05.416-.146L6 9.52l2.917 2.333c.12.098.27.147.416.147.133 0 .267-.04.38-.12.244-.17.346-.478.252-.758L8.8 7.63l2.876-1.725c.24-.144.364-.422.312-.696z""></path></svg></span><span class=""icon-ic item__star""><svg xmlns=""http://www.w3.org/2000/svg"" focusable=""false"" tabindex=""-1"" width=""12"" height=""12"" viewBox=""0 0 12 12""><path class=""svg-color--primary"" fill=""#F6AB3F"" d=""M11.988 5.21c-.052-.275-.27-.488-.545-.534l-3.604-.6L6.63.455C6.542.184 6.287 0 6 0s-.542.184-.632.456L4.16 4.076l-3.603.6c-.275.046-.493.26-.545.533-.052.273.072.55.312.695L3.2 7.63l-1.165 3.493c-.093.28.01.59.25.758.115.08.25.12.382.12.148 0 .295-.05.416-.146L6 9.52l2.917 2.333c.12.098.27.147.416.147.133 0 .267-.04.38-.12.244-.17.346-.478.252-.758L8.8 7.63l2.876-1.725c.24-.144.364-.422.312-.696z""></path></svg></span><span class=""icon-ic item__star""><svg xmlns=""http://www.w3.org/2000/svg"" focusable=""false"" tabindex=""-1"" width=""12"" height=""12"" viewBox=""0 0 12 12""><path class=""svg-color--primary"" fill=""#F6AB3F"" d=""M11.988 5.21c-.052-.275-.27-.488-.545-.534l-3.604-.6L6.63.455C6.542.184 6.287 0 6 0s-.542.184-.632.456L4.16 4.076l-3.603.6c-.275.046-.493.26-.545.533-.052.273.072.55.312.695L3.2 7.63l-1.165 3.493c-.093.28.01.59.25.758.115.08.25.12.382.12.148 0 .295-.05.416-.146L6 9.52l2.917 2.333c.12.098.27.147.416.147.133 0 .267-.04.38-.12.244-.17.346-.478.252-.758L8.8 7.63l2.876-1.725c.24-.144.364-.422.312-.696z""></path></svg></span>"
Treebo Signature Inn,"Jaipur, 7.7 km to City centre",https://imgio.trivago.com/partnerimages/19/48/194879736_x.jpeg,"E-58, Girdhar Marg, Malviya Nagar, JLN Marg Jaipur India","Located in Jaipur’s buzzing commercial district, Malviya Nagar, Treebo Signature Inn is a budget hotel less than one mile from upscale shopping and dining complex, the World Trade Park.All 22 rooms have an en-suite bathroom with shower. Free Wi-Fi, cable television, a kettle and air conditioning are provided for guests’ comfort. Some units come with fridge, safe and/or seating area.Treebo Signature Inn has a 24-hour front desk and offers free parking, facilities for business events, a laundry and a dry cleaning and ironing service.A complimentary buffet breakfast is offered to guests. Regional Indian dishes are served in the hotel’s rooftop restaurant and room service is available. Nearby restaurants include tandoori, barbecue and vegetarian options.From here, Sanganer Airport is just 3.4 miles, Birla Temple is 3.7 miles, Sawai Mansingh Stadium is 4.4 miles, Museum of Indology is 4.5 miles and Jaipur Railway Station is 7.1 miles away. Located in Jaipur’s buzzing commercial district, Malviya Nagar, Treebo Signature Inn is a budget hotel less than one mile from upscale shopping and dining complex, the World Trade Park.All 22 rooms have an en-suite bathroom with shower. Free Wi-Fi, cable television, a kettle and air conditioning are provided for guests’ comfort. Some units come with fridge, safe and/or seating area.Treebo Signature Inn has a 24-hour front desk and offers free parking, facilities for business events, a laundry and a dry cleaning and ironing service.A complimentary buffet breakfast is offered to guests. Regional Indian dishes are served in the hotel’s rooftop restaurant and room service is available. Nearby restaurants include tandoori, barbecue and vegetarian options.From here, Sanganer Airport is just 3.4 miles, Birla Temple is 3.7 miles, Sawai Mansingh Stadium is 4.4 miles, Museum of Indology is 4.5 miles and Jaipur Railway Station is 7.1 miles away.",24-hour reception Free WiFi in lobby Laundry service Lift Restaurant Room service WiFi in lobby,Air conditioning Bathroom with shower Cable TV Desk Electric kettle Flatscreen TV Free WiFi in the rooms Fridge Internet Ironing board Room safe Satellite TV Telephone WiFi in the rooms,,,,"₹1,916",Hotel website,"₹2,394",Hotels.com,"₹2,890",makemytrip,"₹1,916",Treebo Hotels,"<span class=""icon-ic item__star""><svg xmlns=""http://www.w3.org/2000/svg"" focusable=""false"" tabindex=""-1"" width=""12"" height=""12"" viewBox=""0 0 12 12""><path class=""svg-color--primary"" fill=""#F6AB3F"" d=""M11.988 5.21c-.052-.275-.27-.488-.545-.534l-3.604-.6L6.63.455C6.542.184 6.287 0 6 0s-.542.184-.632.456L4.16 4.076l-3.603.6c-.275.046-.493.26-.545.533-.052.273.072.55.312.695L3.2 7.63l-1.165 3.493c-.093.28.01.59.25.758.115.08.25.12.382.12.148 0 .295-.05.416-.146L6 9.52l2.917 2.333c.12.098.27.147.416.147.133 0 .267-.04.38-.12.244-.17.346-.478.252-.758L8.8 7.63l2.876-1.725c.24-.144.364-.422.312-.696z""></path></svg></span><span class=""icon-ic item__star""><svg xmlns=""http://www.w3.org/2000/svg"" focusable=""false"" tabindex=""-1"" width=""12"" height=""12"" viewBox=""0 0 12 12""><path class=""svg-color--primary"" fill=""#F6AB3F"" d=""M11.988 5.21c-.052-.275-.27-.488-.545-.534l-3.604-.6L6.63.455C6.542.184 6.287 0 6 0s-.542.184-.632.456L4.16 4.076l-3.603.6c-.275.046-.493.26-.545.533-.052.273.072.55.312.695L3.2 7.63l-1.165 3.493c-.093.28.01.59.25.758.115.08.25.12.382.12.148 0 .295-.05.416-.146L6 9.52l2.917 2.333c.12.098.27.147.416.147.133 0 .267-.04.38-.12.244-.17.346-.478.252-.758L8.8 7.63l2.876-1.725c.24-.144.364-.422.312-.696z""></path></svg></span><span class=""icon-ic item__star""><svg xmlns=""http://www.w3.org/2000/svg"" focusable=""false"" tabindex=""-1"" width=""12"" height=""12"" viewBox=""0 0 12 12""><path class=""svg-color--primary"" fill=""#F6AB3F"" d=""M11.988 5.21c-.052-.275-.27-.488-.545-.534l-3.604-.6L6.63.455C6.542.184 6.287 0 6 0s-.542.184-.632.456L4.16 4.076l-3.603.6c-.275.046-.493.26-.545.533-.052.273.072.55.312.695L3.2 7.63l-1.165 3.493c-.093.28.01.59.25.758.115.08.25.12.382.12.148 0 .295-.05.416-.146L6 9.52l2.917 2.333c.12.098.27.147.416.147.133 0 .267-.04.38-.12.244-.17.346-.478.252-.758L8.8 7.63l2.876-1.725c.24-.144.364-.422.312-.696z""></path></svg></span>"
Fortune Select Metropolitan,"Jaipur, 1.3 km to City centre",https://imgio.trivago.com/partnerimages/18/44/184471060_x.jpeg,"Bais Godam Circle, Near Nehru Sahkar Bhawan, C - Scheme 302001 Jaipur India","Centrally located in the heart of Jaipur, Fortune Select Metropolitan is a five-star hotel blending rich architecture with modern-day amenities. It offers first-class facilities for business and leisure travellers.Tastefully decorated rooms and suites offer warm colours and feature en-suite bathrooms with a hairdryer and complimentary toiletries. A mini bar and satellite TV provide entertainment, and a daily newspaper and choice of fruits are added luxuries.A fully-equipped wellness centre includes a gym, spa, and roof-top swimming pool with magical views. On-site parking is free, and a 24-hour limousine, valet service, and airport transfers are available for an additional fee.Enjoy world-class dining at Aqua Grill next to the pool, then sip on a specialty cocktail at Nostradamus Lounge and Bar. The 24-hour coffee shop, Zodiac, is ideal for a quick bite to eat, or a relaxing family meal.The 18th century Jantar Mantar Monument is about 5.5 kilometres from Fortune Select Metropolitan, with the landmark Hawa Mahal Palace in the same vicinity. Centrally located in the heart of Jaipur, Fortune Select Metropolitan is a five-star hotel blending rich architecture with modern-day amenities. It offers first-class facilities for business and leisure travellers.Tastefully decorated rooms and suites offer warm colours and feature en-suite bathrooms with a hairdryer and complimentary toiletries. A mini bar and satellite TV provide entertainment, and a daily newspaper and choice of fruits are added luxuries.A fully-equipped wellness centre includes a gym, spa, and roof-top swimming pool with magical views. On-site parking is free, and a 24-hour limousine, valet service, and airport transfers are available for an additional fee.Enjoy world-class dining at Aqua Grill next to the pool, then sip on a specialty cocktail at Nostradamus Lounge and Bar. The 24-hour coffee shop, Zodiac, is ideal for a quick bite to eat, or a relaxing family meal.The 18th century Jantar Mantar Monument is about 5.5 kilometres from Fortune Select Metropolitan, with the landmark Hawa Mahal Palace in the same vicinity.",24-hour room service 24-hour reception Business centre Car park Concierge Conference rooms Convenience store Express check-in / out Gym Hairdresser Hotel bar Hotel safe Laundry service Lift Non-smoking rooms Outdoor swimming pool PC with internet Pets allowed Restaurant Room service Terrace Washing machine Wellness Centre / Spa WiFi in lobby,Air conditioning Bathroom with bathtub Bathroom with shower Cable TV Desk Electric kettle Internet Ironing board Telephone Television WiFi in the rooms,Beauty Salon Body treatments Massage Sauna Steam room Whirlpool / Jacuzzi,Wheelchair accessible,Child / Baby cot,"₹5,265",Hotels.com,"₹3,661",Yatra,"₹6,671",Elvoline,"₹3,156",makemytrip,"<span class=""icon-ic item__star""><svg xmlns=""http://www.w3.org/2000/svg"" focusable=""false"" tabindex=""-1"" width=""12"" height=""12"" viewBox=""0 0 12 12""><path class=""svg-color--primary"" fill=""#F6AB3F"" d=""M11.988 5.21c-.052-.275-.27-.488-.545-.534l-3.604-.6L6.63.455C6.542.184 6.287 0 6 0s-.542.184-.632.456L4.16 4.076l-3.603.6c-.275.046-.493.26-.545.533-.052.273.072.55.312.695L3.2 7.63l-1.165 3.493c-.093.28.01.59.25.758.115.08.25.12.382.12.148 0 .295-.05.416-.146L6 9.52l2.917 2.333c.12.098.27.147.416.147.133 0 .267-.04.38-.12.244-.17.346-.478.252-.758L8.8 7.63l2.876-1.725c.24-.144.364-.422.312-.696z""></path></svg></span><span class=""icon-ic item__star""><svg xmlns=""http://www.w3.org/2000/svg"" focusable=""false"" tabindex=""-1"" width=""12"" height=""12"" viewBox=""0 0 12 12""><path class=""svg-color--primary"" fill=""#F6AB3F"" d=""M11.988 5.21c-.052-.275-.27-.488-.545-.534l-3.604-.6L6.63.455C6.542.184 6.287 0 6 0s-.542.184-.632.456L4.16 4.076l-3.603.6c-.275.046-.493.26-.545.533-.052.273.072.55.312.695L3.2 7.63l-1.165 3.493c-.093.28.01.59.25.758.115.08.25.12.382.12.148 0 .295-.05.416-.146L6 9.52l2.917 2.333c.12.098.27.147.416.147.133 0 .267-.04.38-.12.244-.17.346-.478.252-.758L8.8 7.63l2.876-1.725c.24-.144.364-.422.312-.696z""></path></svg></span><span class=""icon-ic item__star""><svg xmlns=""http://www.w3.org/2000/svg"" focusable=""false"" tabindex=""-1"" width=""12"" height=""12"" viewBox=""0 0 12 12""><path class=""svg-color--primary"" fill=""#F6AB3F"" d=""M11.988 5.21c-.052-.275-.27-.488-.545-.534l-3.604-.6L6.63.455C6.542.184 6.287 0 6 0s-.542.184-.632.456L4.16 4.076l-3.603.6c-.275.046-.493.26-.545.533-.052.273.072.55.312.695L3.2 7.63l-1.165 3.493c-.093.28.01.59.25.758.115.08.25.12.382.12.148 0 .295-.05.416-.146L6 9.52l2.917 2.333c.12.098.27.147.416.147.133 0 .267-.04.38-.12.244-.17.346-.478.252-.758L8.8 7.63l2.876-1.725c.24-.144.364-.422.312-.696z""></path></svg></span><span class=""icon-ic item__star""><svg xmlns=""http://www.w3.org/2000/svg"" focusable=""false"" tabindex=""-1"" width=""12"" height=""12"" viewBox=""0 0 12 12""><path class=""svg-color--primary"" fill=""#F6AB3F"" d=""M11.988 5.21c-.052-.275-.27-.488-.545-.534l-3.604-.6L6.63.455C6.542.184 6.287 0 6 0s-.542.184-.632.456L4.16 4.076l-3.603.6c-.275.046-.493.26-.545.533-.052.273.072.55.312.695L3.2 7.63l-1.165 3.493c-.093.28.01.59.25.758.115.08.25.12.382.12.148 0 .295-.05.416-.146L6 9.52l2.917 2.333c.12.098.27.147.416.147.133 0 .267-.04.38-.12.244-.17.346-.478.252-.758L8.8 7.63l2.876-1.725c.24-.144.364-.422.312-.696z""></path></svg></span><span class=""icon-ic item__star""><svg xmlns=""http://www.w3.org/2000/svg"" focusable=""false"" tabindex=""-1"" width=""12"" height=""12"" viewBox=""0 0 12 12""><path class=""svg-color--primary"" fill=""#F6AB3F"" d=""M11.988 5.21c-.052-.275-.27-.488-.545-.534l-3.604-.6L6.63.455C6.542.184 6.287 0 6 0s-.542.184-.632.456L4.16 4.076l-3.603.6c-.275.046-.493.26-.545.533-.052.273.072.55.312.695L3.2 7.63l-1.165 3.493c-.093.28.01.59.25.758.115.08.25.12.382.12.148 0 .295-.05.416-.146L6 9.52l2.917 2.333c.12.098.27.147.416.147.133 0 .267-.04.38-.12.244-.17.346-.478.252-.758L8.8 7.63l2.876-1.725c.24-.144.364-.422.312-.696z""></path></svg></span>"
Treebo Raya Inn,"Jaipur, 1.0 km to City centre",https://imgio.trivago.com/partnerimages/19/01/190137202_x.jpeg,"32, Power House Road , Opp. Jaipur Junction 302006 Jaipur India","Set in a prime location of Jaipur, Hotel Raya Inn puts everything the city has to offer just outside your doorstep. The hotel offers guests a range of services and amenities designed to provide comfort and convenience. Service-minded staff will welcome and guide you at the Hotel Raya Inn. Guestrooms are fitted with all the amenities you need for a good night's sleep, including internet access– wireless, seating area, internet access – wireless (complimentary), non smoking rooms, air conditioning. The hotel offers various recreational opportunities. No matter what your reasons are for visiting Jaipur, Hotel Raya Inn will make you feel instantly at home. Set in a prime location of Jaipur, Hotel Raya Inn puts everything the city has to offer just outside your doorstep. The hotel offers guests a range of services and amenities designed to provide comfort and convenience. Service-minded staff will welcome and guide you at the Hotel Raya Inn. Guestrooms are fitted with all the amenities you need for a good night's sleep, including internet access– wireless, seating area, internet access – wireless (complimentary), non smoking rooms, air conditioning. The hotel offers various recreational opportunities. No matter what your reasons are for visiting Jaipur, Hotel Raya Inn will make you feel instantly at home.",24-hour room service 24-hour reception Car park Concierge Free WiFi in lobby Laundry service Restaurant Room service WiFi in lobby,Air conditioning Bathroom with shower Cable TV Desk Electric kettle Fan Flatscreen TV Free WiFi in the rooms Fridge Hairdryer Internet Ironing board Satellite TV Telephone Television WiFi in the rooms,,,,"₹1,804",Hotel website,"₹3,695",Hotels.com,"₹3,697",Expedia,"₹1,804",Treebo Hotels,"<span class=""icon-ic item__star""><svg xmlns=""http://www.w3.org/2000/svg"" focusable=""false"" tabindex=""-1"" width=""12"" height=""12"" viewBox=""0 0 12 12""><path class=""svg-color--primary"" fill=""#F6AB3F"" d=""M11.988 5.21c-.052-.275-.27-.488-.545-.534l-3.604-.6L6.63.455C6.542.184 6.287 0 6 0s-.542.184-.632.456L4.16 4.076l-3.603.6c-.275.046-.493.26-.545.533-.052.273.072.55.312.695L3.2 7.63l-1.165 3.493c-.093.28.01.59.25.758.115.08.25.12.382.12.148 0 .295-.05.416-.146L6 9.52l2.917 2.333c.12.098.27.147.416.147.133 0 .267-.04.38-.12.244-.17.346-.478.252-.758L8.8 7.63l2.876-1.725c.24-.144.364-.422.312-.696z""></path></svg></span><span class=""icon-ic item__star""><svg xmlns=""http://www.w3.org/2000/svg"" focusable=""false"" tabindex=""-1"" width=""12"" height=""12"" viewBox=""0 0 12 12""><path class=""svg-color--primary"" fill=""#F6AB3F"" d=""M11.988 5.21c-.052-.275-.27-.488-.545-.534l-3.604-.6L6.63.455C6.542.184 6.287 0 6 0s-.542.184-.632.456L4.16 4.076l-3.603.6c-.275.046-.493.26-.545.533-.052.273.072.55.312.695L3.2 7.63l-1.165 3.493c-.093.28.01.59.25.758.115.08.25.12.382.12.148 0 .295-.05.416-.146L6 9.52l2.917 2.333c.12.098.27.147.416.147.133 0 .267-.04.38-.12.244-.17.346-.478.252-.758L8.8 7.63l2.876-1.725c.24-.144.364-.422.312-.696z""></path></svg></span><span class=""icon-ic item__star""><svg xmlns=""http://www.w3.org/2000/svg"" focusable=""false"" tabindex=""-1"" width=""12"" height=""12"" viewBox=""0 0 12 12""><path class=""svg-color--primary"" fill=""#F6AB3F"" d=""M11.988 5.21c-.052-.275-.27-.488-.545-.534l-3.604-.6L6.63.455C6.542.184 6.287 0 6 0s-.542.184-.632.456L4.16 4.076l-3.603.6c-.275.046-.493.26-.545.533-.052.273.072.55.312.695L3.2 7.63l-1.165 3.493c-.093.28.01.59.25.758.115.08.25.12.382.12.148 0 .295-.05.416-.146L6 9.52l2.917 2.333c.12.098.27.147.416.147.133 0 .267-.04.38-.12.244-.17.346-.478.252-.758L8.8 7.63l2.876-1.725c.24-.144.364-.422.312-.696z""></path></svg></span>"
FabHotel Royal CM Bani Park,"Jaipur, 2.4 km to City centre",https://imgio.trivago.com/uploadimages/28/26/28262818_x.jpeg,"149, Indra Colony, Bani Park Near Space Cinema 302016 Jaipur India","FabHotel Royal CM Bani Park offers well-appointed budget accommodation in a modern property in the district of Indra Colony. In-house facilities include a small fitness centre.All rooms are air-conditioned and feature wooden flooring throughout. TVs, hot drinks making facilities and desks are all included, whilst private bathrooms provide free branded toiletries.Reception is open 24 hours a day and staff can assist with tour and transport bookings, plus luggage storage and laundry services. An ATM is on-site and there is free Wi-Fi provided.The in-house restaurant serves a range of local and international cuisine, plus a breakfast buffet. Room service is also available 24 hours a day.Inox City Plaza Mall is located just five minutes away on foot from FabHotel Royal CM Bani Park, while the historic Pink City district is 3.5 kilometres drive away. Jaipur Railway Station is located three kilometres south of the property. FabHotel Royal CM Bani Park offers well-appointed budget accommodation in a modern property in the district of Indra Colony. In-house facilities include a small fitness centre.All rooms are air-conditioned and feature wooden flooring throughout. TVs, hot drinks making facilities and desks are all included, whilst private bathrooms provide free branded toiletries.Reception is open 24 hours a day and staff can assist with tour and transport bookings, plus luggage storage and laundry services. An ATM is on-site and there is free Wi-Fi provided.The in-house restaurant serves a range of local and international cuisine, plus a breakfast buffet. Room service is also available 24 hours a day.Inox City Plaza Mall is located just five minutes away on foot from FabHotel Royal CM Bani Park, while the historic Pink City district is 3.5 kilometres drive away. Jaipur Railway Station is located three kilometres south of the property.",24-hour room service 24-hour reception Airport shuttle Business centre Car park Conference rooms Gym Hotel bar Laundry service Lift Non-smoking rooms Restaurant Room service WiFi in lobby,Air conditioning Bathroom with shower Cable TV Desk Electric kettle Fan Flatscreen TV Free WiFi in the rooms Fridge Internet Room safe Satellite TV Telephone WiFi in the rooms,Accessible parking Accessible paths / corridors,,,"₹1,450",Hotel website,"₹1,566",Booking.com,"₹1,566",Agoda,"₹1,450",FabHotels,"<span class=""icon-ic item__star""><svg xmlns=""http://www.w3.org/2000/svg"" focusable=""false"" tabindex=""-1"" width=""12"" height=""12"" viewBox=""0 0 12 12""><path class=""svg-color--primary"" fill=""#F6AB3F"" d=""M11.988 5.21c-.052-.275-.27-.488-.545-.534l-3.604-.6L6.63.455C6.542.184 6.287 0 6 0s-.542.184-.632.456L4.16 4.076l-3.603.6c-.275.046-.493.26-.545.533-.052.273.072.55.312.695L3.2 7.63l-1.165 3.493c-.093.28.01.59.25.758.115.08.25.12.382.12.148 0 .295-.05.416-.146L6 9.52l2.917 2.333c.12.098.27.147.416.147.133 0 .267-.04.38-.12.244-.17.346-.478.252-.758L8.8 7.63l2.876-1.725c.24-.144.364-.422.312-.696z""></path></svg></span><span class=""icon-ic item__star""><svg xmlns=""http://www.w3.org/2000/svg"" focusable=""false"" tabindex=""-1"" width=""12"" height=""12"" viewBox=""0 0 12 12""><path class=""svg-color--primary"" fill=""#F6AB3F"" d=""M11.988 5.21c-.052-.275-.27-.488-.545-.534l-3.604-.6L6.63.455C6.542.184 6.287 0 6 0s-.542.184-.632.456L4.16 4.076l-3.603.6c-.275.046-.493.26-.545.533-.052.273.072.55.312.695L3.2 7.63l-1.165 3.493c-.093.28.01.59.25.758.115.08.25.12.382.12.148 0 .295-.05.416-.146L6 9.52l2.917 2.333c.12.098.27.147.416.147.133 0 .267-.04.38-.12.244-.17.346-.478.252-.758L8.8 7.63l2.876-1.725c.24-.144.364-.422.312-.696z""></path></svg></span><span class=""icon-ic item__star""><svg xmlns=""http://www.w3.org/2000/svg"" focusable=""false"" tabindex=""-1"" width=""12"" height=""12"" viewBox=""0 0 12 12""><path class=""svg-color--primary"" fill=""#F6AB3F"" d=""M11.988 5.21c-.052-.275-.27-.488-.545-.534l-3.604-.6L6.63.455C6.542.184 6.287 0 6 0s-.542.184-.632.456L4.16 4.076l-3.603.6c-.275.046-.493.26-.545.533-.052.273.072.55.312.695L3.2 7.63l-1.165 3.493c-.093.28.01.59.25.758.115.08.25.12.382.12.148 0 .295-.05.416-.146L6 9.52l2.917 2.333c.12.098.27.147.416.147.133 0 .267-.04.38-.12.244-.17.346-.478.252-.758L8.8 7.63l2.876-1.725c.24-.144.364-.422.312-.696z""></path></svg></span>"
